 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 676,3,0.077310469,0.038085472,0.052713795,1.149037993,1.318301222,0.492630199,0.681845496,3.399329001,0.722495348,53,901,0 
 1725,3,0.038508459,0.028407428,0.028407428,1.810973523,1.810973523,0.737693195,0.737693195,1,1,92,1582,0 
 514,2,0.049727126,0.030934866,0.039519776,0.97773579,1.13437637,0.622092382,0.794732765,0.487046632,0.782769265,62,305,0 
 492,83,0.447583776,0.087969147,0.123541432,1.140181259,1.214193981,0.196542305,0.276018566,0.124904567,0.7120619,52,15,0 
 988,5,0.042450978,0.019822185,0.032316055,1.150258373,1.313623106,0.466942956,0.761255853,1.197183127,0.613385046,54,1504,0 
 866,2,0.096720688,0.056594937,0.072005341,1.494359385,1.699571859,0.585137867,0.744466801,3.863128673,0.785982486,55,298,0 
 421,2,0.057040447,0.036189451,0.04591256,0.928936134,1.070083499,0.634452451,0.804912351,0.421965318,0.788225513,48,287,0 
 1851,36,0.040957015,0.030026641,0.030026641,1.91419835,1.91419835,0.733125721,0.733125721,1,1,100,1038,0 
 265,5,0.060846299,0.054051949,0.058545763,0.964805398,1.080774905,0.888335852,0.962191035,1.270044485,0.923242703,39,1564,0 
 432,2,0.103456275,0.061953148,0.079812658,0.97017088,1.069219506,0.598834128,0.771462707,0.181372549,0.776232114,29,52,0 
 1595,2,0.037290925,0.02670122,0.02670122,1.702202761,1.702202761,0.716024606,0.716024606,1,1,77,714,0 
 601,7,0.066168918,0.03759494,0.052774571,1.078221828,1.254657118,0.568166157,0.797573436,0.295536026,0.712368456,60,515,0 
 917,9,0.066819661,0.038745791,0.053614393,1.533334718,1.903771271,0.579856137,0.802374508,1.413564028,0.722675174,55,341,0 
 470,2,0.058884932,0.036415681,0.046182119,0.972981486,1.11611682,0.618421053,0.784277371,0.422222222,0.788523392,44,423,0 
 1013,14,0.015829774,0.015623214,0.015801336,0.995979897,1.002748498,0.986951173,0.998203509,1,0.988727413,60,440,0 
 383,2,0.068802589,0.043214528,0.058006678,0.906666879,1.051228521,0.628094504,0.84308859,0.310734463,0.744992296,31,79,0 
 790,6,0.065915123,0.042568259,0.053569385,1.311513889,1.457403029,0.645804132,0.812702491,3.660111745,0.794637815,74,524,0 
 860,8,0.056139839,0.031623879,0.046384537,1.337451143,1.630073196,0.563305482,0.826232103,1.46045965,0.68177632,63,478,0 
 1732,8,0.032693906,0.028394047,0.028431212,1.810120526,1.820876727,0.868481353,0.869618109,1,0.99869281,55,429,0 
 821,7,0.054530164,0.030074731,0.045929257,1.264597621,1.549238458,0.551524666,0.842272496,1.63636381,0.654805503,62,317,0 
 1013,3,0.015667427,0.015623214,0.015662234,0.995979897,1.00235736,0.997178008,0.999668532,1,0.997508651,41,284,0 
 1017,2,0.015662259,0.015659249,0.015661657,0.998277099,1.000610648,0.999807766,0.999961547,1,0.999846213,34,366,0 
 477,4,0.076603582,0.036430344,0.057226629,1.027695507,1.254258915,0.475569723,0.747048992,2.286829772,0.636597771,30,239,0 
 591,3,0.052327522,0.028980344,0.043523647,1.094505424,1.32618178,0.553826033,0.831754403,0.813423035,0.665852842,47,526,0 
 364,5,0.078587876,0.05928972,0.068411825,1.181313481,1.376570464,0.754438504,0.870513723,0.698412682,0.866658945,44,1288,0 
 750,7,0.06971405,0.040958759,0.059127349,1.290621106,1.531518227,0.587525165,0.848141061,0.33521127,0.692721049,69,464,0 
 1095,11,0.064970534,0.038467956,0.055396669,1.674883154,2.0844236,0.592083114,0.85264297,1.21015984,0.69440919,100,964,0 
 1852,15,0.038768963,0.029997429,0.029997429,1.9123361,1.9123361,0.773748558,0.773748558,1,1,77,967,0 
 1568,1,0.031054911,0.025617138,0.025617138,1.633092544,1.633092544,0.824898116,0.824898116,1,1,26,305,0 
 1881,12,0.039682787,0.030564443,0.030564443,1.948483215,1.948483215,0.770219146,0.770219146,1,1,79,905,0 
 929,8,0.067217217,0.037896339,0.056693687,1.43225322,1.745448695,0.563789174,0.843439972,2.399964547,0.668440189,91,900,0 
 842,11,0.061755393,0.034016159,0.04689083,1.266725171,1.532311598,0.550820863,0.759299351,0.373517224,0.725433075,63,605,0 
 1035,10,0.06591747,0.038836143,0.056054383,1.637568548,2.032497641,0.589163127,0.85037219,1.246451672,0.692829721,100,836,0 
 906,10,0.060927459,0.036322261,0.052894682,1.437943668,1.785960256,0.596155851,0.868158348,0.542289357,0.686690225,88,948,0 
 956,14,0.063618567,0.036333715,0.053804835,1.447530647,1.777507988,0.571118102,0.845741063,2.167843592,0.675287185,98,658,0 
 926,8,0.0960042,0.03725054,0.05277713,1.406655468,1.676507461,0.388009479,0.549737716,0.35652172,0.705808366,65,675,0 
 830,9,0.066001078,0.036606334,0.04903257,1.365360585,1.662299073,0.554632362,0.742905593,2.055808161,0.746571795,63,471,0 
 1014,3,0.015686017,0.015632223,0.015675978,0.996554197,1.002193415,0.99657055,0.999359998,1,0.997208766,58,555,0 
 698,4,0.056548814,0.033802829,0.049401912,1.221847305,1.521060868,0.597763713,0.87361534,1.743172192,0.68424132,72,660,0 
 1324,7,0.07107961,0.042000696,0.056571375,1.937785721,2.412959636,0.590896554,0.795887535,0.838135464,0.742437251,100,463,0 
 965,6,0.044178552,0.01831881,0.024576608,1.097414656,1.211617185,0.414653932,0.556301797,1.128318601,0.745375862,100,632,0 
 1752,7,0.035487306,0.027988174,0.027988174,1.784246098,1.784246098,0.788681276,0.788681276,1,1,67,698,0 
 1066,10,0.067864757,0.040466446,0.057591097,1.700738426,2.135894807,0.596280718,0.848615678,1.117244782,0.702651074,100,761,0 
 1680,4,0.034919126,0.027275852,0.027275852,1.738835549,1.738835549,0.781114956,0.781114956,1,1,67,551,0 
 1665,3,0.034365718,0.027051541,0.027076734,1.724535758,1.729422982,0.787166474,0.787899545,1,0.999069589,63,464,0 
 656,11,0.065825735,0.041748584,0.055870979,1.151229085,1.324971824,0.634228909,0.848771056,3.641756252,0.747232019,65,293,0 
 539,5,0.058104499,0.034739907,0.048193751,1.049467292,1.250281243,0.597886702,0.829432348,0.402450638,0.720838418,63,367,0 
 840,12,0.048381434,0.029638069,0.04055093,1.278463973,1.529665373,0.612591787,0.83815066,0.584080696,0.73088505,85,191,0 
 936,10,0.059508563,0.034657913,0.047666242,1.34697032,1.635595875,0.582402119,0.800998044,2.691892813,0.727095556,93,677,0 
 1375,16,0.068793091,0.04080233,0.056487557,1.950930681,2.440484742,0.593116684,0.821122524,0.962813754,0.722324217,100,578,0 
 1869,8,0.044391993,0.030481819,0.030494247,1.943215976,1.946892028,0.686651288,0.686931237,1,0.999592464,85,539,0 
 715,4,0.065443032,0.039743267,0.055055666,1.146520111,1.323809481,0.607295627,0.841276211,3.969628083,0.721874241,64,615,0 
 573,2,0.056256513,0.035724619,0.046370114,0.996812098,1.144836865,0.635030809,0.824262148,0.306302627,0.770423354,62,1049,0 
 948,19,0.059496252,0.036429835,0.046627949,1.473438894,1.722658522,0.612304705,0.783712367,0.494892191,0.781287536,87,650,0 
 1627,14,0.065713236,0.03965791,0.054331132,2.086202943,2.59346264,0.603499574,0.826791296,0.872415671,0.729929761,100,807,0 
 846,2,0.030338018,0.027541202,0.028688941,1.148882338,1.163934319,0.907811512,0.945643222,0.48627451,0.959993675,46,281,0 
 968,7,0.064408241,0.038906093,0.051683296,1.520787159,1.825692445,0.604054578,0.802432969,1.831560517,0.752778863,91,387,0 
 794,2,0.029504606,0.024576491,0.026155276,1.058065814,1.08241715,0.832971342,0.886481107,0.509803922,0.939638009,57,307,0 
 933,7,0.064968827,0.038084473,0.05667501,1.468263355,1.815859003,0.586196101,0.87234159,2.095183829,0.671979999,99,436,0 
 1019,5,0.015688726,0.015677266,0.015683054,0.9994257,1.000396266,0.999269512,0.999638467,1,0.999630911,100,173,0 
 766,5,0.05048153,0.030827327,0.043441049,1.209722493,1.477111637,0.610665472,0.860533533,0.472747525,0.709635882,91,157,0 
 1749,14,0.037519995,0.028394313,0.028394313,1.810137433,1.810137433,0.756778162,0.756778162,1,1,89,301,0 
